,count,mean,std,min,25%,50%,75%,max
log_return,44.0,0.005461462719964485,0.02854756994974363,-0.05575872600397599,-0.013092286349172776,0.004722034692940596,0.023213025088591813,0.08646132831139525
sp500_return,44.0,0.0012822824041090726,0.00961347460638213,-0.02057905194436549,-0.0029807252273767737,0.0009294532626443752,0.004572470874394163,0.027065552133743953
vix_change,44.0,0.00221156534713894,0.05170150743881884,-0.0933074684772065,-0.035382304568051304,-0.0052203074501976365,0.02832981389031064,0.20314606741573038
yield_change,44.0,0.013409090909090916,0.08504289428824603,-0.11000000000000032,-0.029999999999999916,0.0,0.03000000000000025,0.4600000000000004
