,count,mean,std,min,25%,50%,75%,max
log_return,39.0,0.00017388512081442797,0.024776151758080546,-0.05811859363549751,-0.014338904622225939,0.00012686264723074997,0.016848763803451374,0.04049442150333777
sp500_return,39.0,-0.0003016384379148156,0.008785513381243934,-0.0298035711330652,-0.00430146852521579,0.0007605191369759456,0.0058744747548512555,0.012503420908593466
vix_change,39.0,0.0026304975354813852,0.04943087361576541,-0.14356964731029576,-0.019776040390898697,-0.0014265335235378318,0.023732240249439873,0.16775795890720246
yield_change,39.0,0.0048717948717948815,0.05041260258432649,-0.10000000000000053,-0.025000000000000355,0.010000000000000675,0.03500000000000014,0.09999999999999964
