,count,mean,std,min,25%,50%,75%,max
log_return,61.0,0.005667774137626084,0.02822208822309501,-0.0557587260039759,-0.0105116232349203,0.0020107168420852,0.0210013800103663,0.098536903791976
sp500_return,61.0,0.0012213950935894102,0.009555014533617871,-0.0205790519443654,-0.0029658834603158,0.0016183737065922,0.0052227727199556,0.0270655521337439
vix_change,61.0,0.0029237011225617983,0.0499392114744007,-0.0933074684772065,-0.0301841560422795,-0.0060771165129924,0.0331922477166406,0.2031460674157303
yield_change,61.0,0.013278688524590186,0.0750271353461624,-0.1100000000000003,-0.02,0.0,0.04,0.4600000000000004
