,count,mean,std,min,25%,50%,75%,max
log_return,59.0,-0.002107894964588756,0.02180114133337671,-0.0581185936354975,-0.017029500610871398,-0.0005920988449549,0.009383903848311,0.0404944215033377
sp500_return,59.0,-5.143845257330057e-07,0.009374490126349982,-0.0298035711330652,-0.0053219621843182,6.652253450867285e-05,0.0086043161961132,0.0181899379927512
vix_change,59.0,-0.0005380035468393444,0.053702120396004666,-0.1435696473102957,-0.01977604039089865,0.0011668611435238,0.0336233247119679,0.1677579589072024
yield_change,59.0,0.009322033898305025,0.047917472401089574,-0.1000000000000005,-0.0200000000000004,0.0199999999999995,0.04,0.0999999999999996
